Review	Label
밤늦게까지 상담해주셔서 감사합니다	21
친절하게 잘해주셔서 감사했습니다	1
친절하고 감사합니다	1
상담 톡이 부족	2
Sk는 항상 친절해요	21
상담 감사드립니다	21
친절하게 상담해주셔서 감사드립니다	1
친절하셔서 감사합니다 	1
타사 카드 상담원은 다 친절했음	21
친절 상담 감사	1
친절 상담 감사합니다	1
상담번호를  남겼는데  너무  늦게  주심이  너무 불만입니다	2
친절한 상담에 감사드립니다   	1
나이 많은 경 노인들께 좀 큰 목소리를 하고 알아먹기 좋은 말로 친절하게 대답해주어 서면 좋겠습니다	1
친절한  안냐 감사합니다	1
삼성카드 앱 너무 복잡합니다   앱을 깔아도 실상 필요한 부분을 찾기가 어려워 전화하게 만드네요  	12
OOO 님 친절하게 상담해주셔서 감사합니다	1
9시 이전인데도 톡 상담이 되어서 놀랐습니다	2
상담원도 공부를 해야 할듯합니다	1
친절 감사합니다 	1
친절에 감사합니다  	1
상담원 연결 대기 시간이 너무 길고 연결이 어렵습니다   	2
바로 보는 상담  ars 누르는 상담  전화상담사를 바로 고르게 해주세요	12
상담원과의 통화대기시간이 너무 길다	2
상담사가 불친절한 느낌을 받았네요 상담이 귀찮다는 듯으로 받아들여져서 기분이 좋지만은 않네요	1
목소리에 친절함이 없다	1
삼성은 이 나라의 축이다 최선을 다해주길   	20
포인트 적립 많이 되게 해주세요	4
상담사 연결까지 대기 시간이 짧아서 좋았습니다 	2
좀 더 친절하고 자세하게  응대하길 바란다	1
상담받으려면 오래 기다리는 게 불편함	2
친절하게 상담해주시니 감사합니다	1
관리비 혜택이 없어 해지함	11
5번 질문에 대한 답변은 상담직원 연결되기까지 기다리는 것 말곤 없는 듯	2
바로  보이는 ARS가 되었는데  나중에 보니 화면 아래쪽에 상담원 통화 버튼이 있더라고 요 안내 멘트에  상담원 통화 버튼도 보이는 화면에도 있다고 알려 주심 좋을 거 같네요 처음엔 안 보여서 전화를 여러 번 했다 끊었다 했고만요	12
무이자 할부 혜택을 좀 많이줳으면좋겧어요  	4
삼성 더오 카드 프리미엄 전용 상담 센터에 매우 만족합니다  계속 운영유지 부탁합니다 	2
친절한  상담  감사합니다	1
전화통화 시 상담원과의 통화가 되기까지 거치는 단계가  없이 연결되었으면 합니다	12
SK 텔레콤 회사 직원들이 전화응대를 잘합니다 	21
골드회원이라고 별거 아닌 건 알지만 괜히 기분 좋고 상담원 연결이 빠르게 돼서 좋습니다	2
오늘 상담 감사했습니다 	21
친절한 상담 부탁드립니다 	1
더욱 친절합시다	1
불만이 너무 많아요	21
화면 터치식은 너무 복잡하다	12
다른 카드사보다 좋아요	20
더 친절한 응대 원합니다	1
전화 연결 대기 시간	2
친절에 감사  	1
너무 말을 질질 끌면서 말하고 친절함보다 답답하다	1
친절한 상담 감사합니다   	1
골드고객으로 지정되어 있어 빠른 안내 서비스를 받을 수 있어 좋았다   향후 오랜 고객에게 감동하는 서비를 제공해 주세요 	2
친절한 상담 감사합니다   	1
타 회사 전화상담 시에 알아들을 수 있을 때까지  설명해줌으로 해서 너무 고마움을 느낄 때가 있었습니다 	21
더욱 친절하게 대해주세요	1
연회비가 너무 많음	9
포인트를 좀 많이 주면 좋겠음	4
친절하셔서 감사합니다   	1
쉽게 설명해주셨으면 합니다	1
디지털 ars 인터페이스가 상담원 연결로 이어지기 어려운 것 같음	12
친절하게 되어주어 감사합니다	1
상담원과의 통화하려면 너무 오래 기다려야 하는데 좀 빨리 연결됐으면 좋겠어요	2
보이는 ARS 화면이 너무 불편하고 시간이 지체되어 답답하다	12
친절에 감사합니다	1
연회비가 비쌉니다	9
상담원이 오늘 기분이 안 좋으신가 굉장히 불친절하시더라고요 	1
친절한 상담 감사합니다 	1
문자나  메일로  상품 광고 안내를 했으면 좋을 듯   근무 중 상품 광고를 전화를 받으면 화가 남 	16
친절하게 잘하고 계심 감사드립니다 	1
친절하게 상담에 응해주어 너무 감사했어요	1
친절하셔서 감사했습니다 	1
친절하고 감사했습니다	1
이벤트 기간 외에도 5개월 이상 무이자 할부 혜택 자주 많았으면 합니다 	4
초기 스마트폰 화면에 보이는 메뉴 구성이 이해가 어려워 상담 통화까지 어려워서 계속 잘못 터치하여 세 번째 통화만에 상담원 연결이 되었습니다 보이는 ARS가 좋긴 하지만 화면 메뉴 구성이 어렵게 되어 있는 것 같습니다	12
연회비 너무 비싸다	9
친절하게 상담해주어 감사드립니다	1
연회비가 너무 비싸요	9
더 자세히 설명  주면 감사하겠음	1
상담원이 통화 중이라 많이 기다려야 해요	2
상담원이 내용을 잘 이해하지 못함 정확한 답변 못함 발음 부정확 못 알아듣겠음	1
맨 처음 화면엔 스마트 폰을 보면서 누르기 하는 게 생각보다 어렵네요	12
우체국 콜센터 직원은 전화하니  고객 요구 사항을 빨리 파악하고 고객 입장에서 처리함 	21
감사합니다  좋은 하루 보내세요	21
어려울 때  대출해주셔서 큰 힘이 됩니다 감사합니다 삼성 사랑합니다	15
상담원이 가장 웃음 목소리를 내면서 상담받을 때 화가 났습니다	1
연결과 동시에 화면 터치로 이동되어 불편함 음성으로 선택 후 화면 선택으로 이동하게 하여주셨으면 삽니다	12
친절하게 해주셔서 감사합니다	1
상담직원과  통화가  매우  힘들다	2
상담 감사했어요	21
고객 입장에선 통화하기가 쉬웠으면 합니다	2
친절하세요   감사합니다	1
상담한 ARS가 너무 복잡함	12
애플이 상담 서비스임 전문성도 뛰어나고 여유롭고 친절하고 배려함 고급 호텔 식당에서 서빙 받는 느낌과 비슷함	21
통화 대기시간이 너무 길다	2
정확하세요	21
상담직원과 빠른연결했슴좋겠어요	2
고객 입장에서  잘 듣고 요점만 정확하게 답변했으면 좋겠습니다 	1
ARS  서비스  연결 시  제대로  연결이 안 되어  불편합니다 바로바로  상담원과  통화할 수 있게  손쉽게 연결이 되었으면 합니다	12
친절한 상담에 감사드립니다	1
상담원 연결 시간이 너무 길고	2
무이자 할부 혜택이 더 많았으면 좋겠습니다	4
보면서 하는 ars를 바로 권유하지 않고 처음에 보이는 ars와 음성 ars 중에서 선택하게 해주세요	12
친절에 감사합니다	1
통화대기시간이 너무 길다	2
상담 친절하게 받아주셔서 감사합니다	1
친절 감사합니다	1
삼성증권에서 받은 서비스  요청하지 않았지만 저의 조건에 맞는 설명과 사실을 따로 알아보시고 전화 주셔서 알려주는 적극적인 응대	21
통화대기 시간을 줄였으면   	2
상담사까지 연결되는 시간이 너무 깁니다	2
친절한 상담 감사	1
Sk 텔레콤이 제일 친절한 편인데 친절하기 갸 막상막하엡니다	21
